biosample_summary,Biosample term name,Biosample term id,Experiment accession,Assay,Output type,File format,Library made from,Library depleted in,Biological replicate(s),Technical replicate,Biosample type,Biosample life stage,Biosample sex,Biosample Age,Audit WARNING,Audit INTERNAL_ACTION,Audit NOT_COMPLIANT,Audit ERROR,Biosample treatments,Biosample subcellular fraction term name,Library extraction method,Library lysis method,Library strand specific,Project,Lab,Experiment date released,Derived from,Size,md5sum,File accession,File download URL,Assembly,File Status,Biosample organism,Biosample phase,Biosample synchronization stage,Experiment target,Antibody accession,RBNS protein concentration,Library fragmentation method,Library size range,Read length,Mapped read length,Run type,Paired end,Paired with,Platform,Controlled by,Library crosslinking method,dbxrefs
Daoy,Daoy,EFO:0005698,ENCSR346IHH,DNase-seq,peaks,bed narrowPeak,DNA,-,2,-,immortalized cell line,child,male,4 year,mixed run types,"out of date analysis, sequencing runs labeled as technical replicates",-,-,-,-,-,-,False,ENCODE,ENCODE Processing Pipeline,8/18/15,"ENCFF163ZHO, ENCFF918EEO",1328735,31d26ea2a8a87f8344ba0071d9d1bc07,ENCFF636UXS,https://www.encodeproject.org/files/ENCFF636UXS/@@download/ENCFF636UXS.bed.gz,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Daoy,Daoy,EFO:0005698,ENCSR346IHH,DNase-seq,signal of unique reads,bigWig,DNA,-,2,-,immortalized cell line,child,male,4 year,mixed run types,"out of date analysis, sequencing runs labeled as technical replicates",-,-,-,-,-,-,False,ENCODE,"John Stamatoyannopoulos, UW",8/18/15,ENCFF171ZQY,194893849,26af3af6baa7f776fda9e29ae4657e59,ENCFF454FTL,https://www.encodeproject.org/files/ENCFF454FTL/@@download/ENCFF454FTL.bigWig,hg19,archived,Homo sapiens,-,-,-,-,-,-,-,36.0,-,-,-,-,-,-,-,-
Daoy,Daoy,EFO:0005698,ENCSR346IHH,DNase-seq,signal of unique reads,bigWig,DNA,-,1,-,immortalized cell line,child,male,4 year,mixed run types,"out of date analysis, sequencing runs labeled as technical replicates",-,-,-,-,-,-,False,ENCODE,"John Stamatoyannopoulos, UW",8/18/15,ENCFF183WVZ,331323474,dcf0f8bda8bebccd88051a79f8b1def7,ENCFF477WNN,https://www.encodeproject.org/files/ENCFF477WNN/@@download/ENCFF477WNN.bigWig,hg19,archived,Homo sapiens,-,-,-,-,-,-,-,36.0,-,-,-,-,-,-,-,-
Daoy,Daoy,EFO:0005698,ENCSR254JJM,RNA-seq,gene quantifications,tsv,RNA,rRNA,2,1.0,immortalized cell line,child,male,4 year,-,-,-,-,-,-,see document,see document,TRUE,ENCODE,ENCODE Processing Pipeline,6/30/14,"ENCFF826ONU, ENCFF958TAL",9575883,49c6145832c0ea54cf93b3fc1cf15322,ENCFF855KHP,https://www.encodeproject.org/files/ENCFF855KHP/@@download/ENCFF855KHP.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Daoy,Daoy,EFO:0005698,ENCSR254JJM,RNA-seq,gene quantifications,tsv,RNA,rRNA,1,1.0,immortalized cell line,child,male,4 year,-,-,-,-,-,-,see document,see document,TRUE,ENCODE,ENCODE Processing Pipeline,6/30/14,"ENCFF605OVP, ENCFF826ONU",9565868,577f561537d043757b5fc7c7dd60a7b9,ENCFF081AIX,https://www.encodeproject.org/files/ENCFF081AIX/@@download/ENCFF081AIX.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G401,G401,EFO:0002179,ENCSR269SIA,DNase-seq,peaks,bed narrowPeak,DNA,-,1,-,immortalized cell line,child,male,3 month,"inconsistent platforms, mixed run types","out of date analysis, sequencing runs labeled as technical replicates",-,-,-,-,-,-,False,ENCODE,"John Stamatoyannopoulos, UW",8/18/15,ENCFF693EAW,2780823,8575342a4bf0654783a3827ce9a0d7c3,ENCFF289GRX,https://www.encodeproject.org/files/ENCFF289GRX/@@download/ENCFF289GRX.bed.gz,hg19,archived,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G401,G401,EFO:0002179,ENCSR269SIA,DNase-seq,peaks,bed narrowPeak,DNA,-,2,-,immortalized cell line,child,male,3 month,"inconsistent platforms, mixed run types","out of date analysis, sequencing runs labeled as technical replicates",-,-,-,-,-,-,False,ENCODE,"John Stamatoyannopoulos, UW",8/18/15,ENCFF254EXH,2420953,6618ef939bb8a38c366179f952e19c2a,ENCFF074QJE,https://www.encodeproject.org/files/ENCFF074QJE/@@download/ENCFF074QJE.bed.gz,hg19,archived,Homo sapiens,-,-,-,-,-,-,-,36.0,-,-,-,-,-,-,-,-
G401,G401,EFO:0002179,ENCSR269SIA,DNase-seq,peaks,bed narrowPeak,DNA,-,2,-,immortalized cell line,child,male,3 month,"inconsistent platforms, mixed run types","out of date analysis, sequencing runs labeled as technical replicates",-,-,-,-,-,-,False,ENCODE,ENCODE Processing Pipeline,8/18/15,"ENCFF163ZHO, ENCFF496AZI",1114966,f50af57591029f5765a040a1a2c1e29e,ENCFF550IUR,https://www.encodeproject.org/files/ENCFF550IUR/@@download/ENCFF550IUR.bed.gz,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G401,G401,EFO:0002179,ENCSR269SIA,DNase-seq,peaks,bed narrowPeak,DNA,-,1,-,immortalized cell line,child,male,3 month,"inconsistent platforms, mixed run types","out of date analysis, sequencing runs labeled as technical replicates",-,-,-,-,-,-,False,ENCODE,ENCODE Processing Pipeline,8/18/15,"ENCFF163ZHO, ENCFF532MKH",2593686,99600a74666597aecfa27c3ceb795837,ENCFF315KCJ,https://www.encodeproject.org/files/ENCFF315KCJ/@@download/ENCFF315KCJ.bed.gz,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G401,G401,EFO:0002179,ENCSR269SIA,DNase-seq,signal of unique reads,bigWig,DNA,-,1,-,immortalized cell line,child,male,3 month,"inconsistent platforms, mixed run types","out of date analysis, sequencing runs labeled as technical replicates",-,-,-,-,-,-,False,ENCODE,"John Stamatoyannopoulos, UW",8/18/15,ENCFF693EAW,389938720,832ab6f6f377a8dd72b87cd944896f0b,ENCFF516ZEY,https://www.encodeproject.org/files/ENCFF516ZEY/@@download/ENCFF516ZEY.bigWig,hg19,archived,Homo sapiens,-,-,-,-,-,-,-,36.0,-,-,-,-,-,-,-,-
G401,G401,EFO:0002179,ENCSR269SIA,DNase-seq,signal of unique reads,bigWig,DNA,-,2,-,immortalized cell line,child,male,3 month,"inconsistent platforms, mixed run types","out of date analysis, sequencing runs labeled as technical replicates",-,-,-,-,-,-,False,ENCODE,"John Stamatoyannopoulos, UW",8/18/15,ENCFF254EXH,362078451,92c4efd2a0f51783172cd40c60009ad1,ENCFF760MRU,https://www.encodeproject.org/files/ENCFF760MRU/@@download/ENCFF760MRU.bigWig,hg19,archived,Homo sapiens,-,-,-,-,-,-,-,36.0,-,-,-,-,-,-,-,-
G401,G401,EFO:0002179,ENCSR653DFZ,RNA-seq,gene quantifications,tsv,RNA,rRNA,1,1.0,immortalized cell line,child,male,3 month,-,-,-,-,-,-,see document,see document,True,ENCODE,ENCODE Processing Pipeline,11/20/14,"ENCFF388CHK, ENCFF826ONU",9526860,36e55e6140522bcbcb40febf0a152d63,ENCFF904LJF,https://www.encodeproject.org/files/ENCFF904LJF/@@download/ENCFF904LJF.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
G401,G401,EFO:0002179,ENCSR653DFZ,RNA-seq,gene quantifications,tsv,RNA,rRNA,2,1.0,immortalized cell line,child,male,3 month,-,-,-,-,-,-,see document,see document,True,ENCODE,ENCODE Processing Pipeline,11/20/14,"ENCFF233TXS, ENCFF826ONU",9532244,407864aaa18ab0c09ec1076ee704b4b9,ENCFF748MDN,https://www.encodeproject.org/files/ENCFF748MDN/@@download/ENCFF748MDN.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR000EMT,DNase-seq,peaks,bed narrowPeak,DNA,-,1,-,immortalized cell line,adult,female,unknown,"insufficient read depth, inconsistent platforms, low spot score",-,-,-,-,-,see document,see document,FALSE,ENCODE,"John Stamatoyannopoulos, UW",5/4/11,ENCFF001CTZ,1456945,c3cc66778b172bff8d991a77765f5698,ENCFF001WFT,https://www.encodeproject.org/files/ENCFF001WFT/@@download/ENCFF001WFT.bed.gz,hg19,archived,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR000EMT,DNase-seq,peaks,bed narrowPeak,DNA,-,2,-,immortalized cell line,adult,female,unknown,"insufficient read depth, inconsistent platforms, low spot score",-,-,-,-,-,see document,see document,FALSE,ENCODE,"John Stamatoyannopoulos, UW",5/4/11,ENCFF001CUI,1376431,cbad587229a297f936ddc0c31aa3613c,ENCFF001WFU,https://www.encodeproject.org/files/ENCFF001WFU/@@download/ENCFF001WFU.bed.gz,hg19,archived,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR000EMT,DNase-seq,peaks,bed narrowPeak,DNA,-,1,-,immortalized cell line,adult,female,unknown,"insufficient read depth, inconsistent platforms, low spot score",-,-,-,-,-,see document,see document,FALSE,ENCODE,ENCODE Processing Pipeline,5/4/11,"ENCFF163ZHO, ENCFF996CVE",549971,17e9004ce11b505de829adae965ea746,ENCFF077ZRM,https://www.encodeproject.org/files/ENCFF077ZRM/@@download/ENCFF077ZRM.bed.gz,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR000EMT,DNase-seq,peaks,bed narrowPeak,DNA,-,2,-,immortalized cell line,adult,female,unknown,"insufficient read depth, inconsistent platforms, low spot score",-,-,-,-,-,see document,see document,FALSE,ENCODE,ENCODE Processing Pipeline,5/4/11,"ENCFF163ZHO, ENCFF905ASU",778002,7dd8ea31b2077a0a2516682ef42c3485,ENCFF184YKB,https://www.encodeproject.org/files/ENCFF184YKB/@@download/ENCFF184YKB.bed.gz,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR000EMT,DNase-seq,raw signal,bigWig,DNA,-,1,-,immortalized cell line,adult,female,unknown,"insufficient read depth, inconsistent platforms, low spot score",-,-,-,-,-,see document,see document,FALSE,ENCODE,"John Stamatoyannopoulos, UW",5/4/11,ENCFF001CTZ,166431069,d264b15739c1865a837002938f9a04b0,ENCFF001CUH,https://www.encodeproject.org/files/ENCFF001CUH/@@download/ENCFF001CUH.bigWig,hg19,archived,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR000EMT,DNase-seq,raw signal,bigWig,DNA,-,2,-,immortalized cell line,adult,female,unknown,"insufficient read depth, inconsistent platforms, low spot score",-,-,-,-,-,see document,see document,FALSE,ENCODE,"John Stamatoyannopoulos, UW",5/4/11,ENCFF001CUI,160037552,655f4c76a6f5456f7b6f4cd1396f849f,ENCFF001CUJ,https://www.encodeproject.org/files/ENCFF001CUJ/@@download/ENCFF001CUJ.bigWig,hg19,archived,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR000AEF,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,-,1,1.0,immortalized cell line,adult,female,unknown,-,-,-,-,-,-,Trizol (LifeTech cat#: 15596-018),Trizol (LifeTech cat#: 15596-018),TRUE,ENCODE,ENCODE Processing Pipeline,6/30/14,"ENCFF778SFW, ENCFF826ONU",9481162,c8d30e67376c1ea1d340533d24c2767a,ENCFF392VPX,https://www.encodeproject.org/files/ENCFF392VPX/@@download/ENCFF392VPX.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR000AEF,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,-,2,1.0,immortalized cell line,adult,female,unknown,-,-,-,-,-,-,Trizol (LifeTech cat#: 15596-018),Trizol (LifeTech cat#: 15596-018),TRUE,ENCODE,ENCODE Processing Pipeline,6/30/14,"ENCFF242CSI, ENCFF826ONU",9545952,f8c7ad83a5eedd8b71b2504f4eaee078,ENCFF023VHU,https://www.encodeproject.org/files/ENCFF023VHU/@@download/ENCFF023VHU.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR297UBP,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,-,1,-,immortalized cell line,adult,female,unknown,"missing spikeins, low read depth",-,"insufficient read depth, missing spikeins",-,-,-,see document,see document,TRUE,ENCODE,ENCODE Processing Pipeline,2/8/11,"ENCFF072NJD, ENCFF826ONU",9708962,4148a01f81c1c639aee734a54d4a309c,ENCFF154SOC,https://www.encodeproject.org/files/ENCFF154SOC/@@download/ENCFF154SOC.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR297UBP,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,-,2,-,immortalized cell line,adult,female,unknown,"missing spikeins, low read depth",-,"insufficient read depth, missing spikeins",-,-,-,see document,see document,TRUE,ENCODE,ENCODE Processing Pipeline,2/8/11,"ENCFF322LUI, ENCFF826ONU",9724765,cce243b21361e2b7d40eeb5c023781ec,ENCFF241OCJ,https://www.encodeproject.org/files/ENCFF241OCJ/@@download/ENCFF241OCJ.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR000AEC,RNA-seq,gene quantifications,tsv,RNA,rRNA,1,1.0,immortalized cell line,adult,female,unknown,-,-,-,-,-,-,see document,see document,TRUE,ENCODE,ENCODE Processing Pipeline,6/30/14,"ENCFF362UKA, ENCFF826ONU",9543973,ab16ba9c9f711a538e18a79b11086b92,ENCFF088ZKJ,https://www.encodeproject.org/files/ENCFF088ZKJ/@@download/ENCFF088ZKJ.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR000AEC,RNA-seq,gene quantifications,tsv,RNA,rRNA,2,1.0,immortalized cell line,adult,female,unknown,-,-,-,-,-,-,see document,see document,TRUE,ENCODE,ENCODE Processing Pipeline,6/30/14,"ENCFF095ZAM, ENCFF826ONU",9540089,54b2c2beafbdb52ced110f1a9b715210,ENCFF610BLQ,https://www.encodeproject.org/files/ENCFF610BLQ/@@download/ENCFF610BLQ.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR843RJV,RNA-seq,gene quantifications,tsv,RNA,-,1,1.0,immortalized cell line,adult,female,unknown,-,biological replicates with identical biosample,-,-,-,-,Ambion mirVana,Ambion mirVana,FALSE,ENCODE,ENCODE Processing Pipeline,6/13/16,"ENCFF406LBY, ENCFF826ONU",9661656,86fe7010fca961026f62b498ad381ea7,ENCFF955JLS,https://www.encodeproject.org/files/ENCFF955JLS/@@download/ENCFF955JLS.tsv,hg19,archived,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR843RJV,RNA-seq,gene quantifications,tsv,RNA,-,2,1.0,immortalized cell line,adult,female,unknown,-,biological replicates with identical biosample,-,-,-,-,Ambion mirVana,Ambion mirVana,FALSE,ENCODE,ENCODE Processing Pipeline,6/13/16,"ENCFF634RRK, ENCFF826ONU",9663117,392cecc4185551a6b2804b850ba32d9b,ENCFF056WHT,https://www.encodeproject.org/files/ENCFF056WHT/@@download/ENCFF056WHT.tsv,hg19,archived,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR843RJV,RNA-seq,gene quantifications,tsv,RNA,-,1,-,immortalized cell line,adult,female,unknown,-,biological replicates with identical biosample,-,-,-,-,Ambion mirVana,Ambion mirVana,FALSE,ENCODE,ENCODE Processing Pipeline,6/13/16,"ENCFF252EZW, ENCFF826ONU",9661529,57ad7185bc11ac54654c9547f3c0e66a,ENCFF790RDA,https://www.encodeproject.org/files/ENCFF790RDA/@@download/ENCFF790RDA.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR843RJV,RNA-seq,gene quantifications,tsv,RNA,-,2,-,immortalized cell line,adult,female,unknown,-,biological replicates with identical biosample,-,-,-,-,Ambion mirVana,Ambion mirVana,FALSE,ENCODE,ENCODE Processing Pipeline,6/13/16,"ENCFF648ILG, ENCFF826ONU",9662939,347f4a0b7e34b5f65883d877c56876ae,ENCFF697CWM,https://www.encodeproject.org/files/ENCFF697CWM/@@download/ENCFF697CWM.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR000AEE,RNA-seq,gene quantifications,tsv,RNA,rRNA,2,1.0,immortalized cell line,adult,female,unknown,-,-,-,-,-,-,Trizol (LifeTech cat#: 15596-018),Trizol (LifeTech cat#: 15596-018),TRUE,ENCODE,ENCODE Processing Pipeline,6/30/14,"ENCFF826ONU, ENCFF842TJL",9577042,e5f4f47386d3bdae42146b94419191a6,ENCFF219RWY,https://www.encodeproject.org/files/ENCFF219RWY/@@download/ENCFF219RWY.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR000AEE,RNA-seq,gene quantifications,tsv,RNA,rRNA,1,1.0,immortalized cell line,adult,female,unknown,-,-,-,-,-,-,Trizol (LifeTech cat#: 15596-018),Trizol (LifeTech cat#: 15596-018),TRUE,ENCODE,ENCODE Processing Pipeline,6/30/14,"ENCFF564GKK, ENCFF826ONU",9569517,e3b1409c754bc6b6c3eb9da7334e017e,ENCFF009ZXH,https://www.encodeproject.org/files/ENCFF009ZXH/@@download/ENCFF009ZXH.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR889TRN,RNA-seq,gene quantifications,tsv,RNA,-,1,1.0,immortalized cell line,adult,female,unknown,-,biological replicates with identical biosample,-,-,-,-,Ambion mirVana,Ambion mirVana,FALSE,ENCODE,ENCODE Processing Pipeline,6/13/16,"ENCFF065BHT, ENCFF826ONU",9654831,fa25e7266171f51e3a463124afe8e081,ENCFF306VMA,https://www.encodeproject.org/files/ENCFF306VMA/@@download/ENCFF306VMA.tsv,hg19,archived,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR889TRN,RNA-seq,gene quantifications,tsv,RNA,-,2,1.0,immortalized cell line,adult,female,unknown,-,biological replicates with identical biosample,-,-,-,-,Ambion mirVana,Ambion mirVana,FALSE,ENCODE,ENCODE Processing Pipeline,6/13/16,"ENCFF050DBE, ENCFF826ONU",9650750,7d241d108c9cfd55fb0c0722cbd52bcc,ENCFF832EPJ,https://www.encodeproject.org/files/ENCFF832EPJ/@@download/ENCFF832EPJ.tsv,hg19,archived,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR889TRN,RNA-seq,gene quantifications,tsv,RNA,-,2,-,immortalized cell line,adult,female,unknown,-,biological replicates with identical biosample,-,-,-,-,Ambion mirVana,Ambion mirVana,FALSE,ENCODE,ENCODE Processing Pipeline,6/13/16,"ENCFF681GHE, ENCFF826ONU",9650885,c16e8dc9c2396cd0835a99b254c85892,ENCFF313RNF,https://www.encodeproject.org/files/ENCFF313RNF/@@download/ENCFF313RNF.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR889TRN,RNA-seq,gene quantifications,tsv,RNA,-,1,-,immortalized cell line,adult,female,unknown,-,biological replicates with identical biosample,-,-,-,-,Ambion mirVana,Ambion mirVana,FALSE,ENCODE,ENCODE Processing Pipeline,6/13/16,"ENCFF826ONU, ENCFF936PWS",9654927,d39cceb3b307c49f543124058ae10cfb,ENCFF300QDV,https://www.encodeproject.org/files/ENCFF300QDV/@@download/ENCFF300QDV.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR000COQ,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,rRNA,2,-,immortalized cell line,adult,female,unknown,-,-,-,-,-,-,see document,see document,TRUE,ENCODE,ENCODE Processing Pipeline,10/17/11,"ENCFF826ONU, ENCFF862SIX",9555386,73fe071c366f32eb0344f27eb39d276f,ENCFF766CPS,https://www.encodeproject.org/files/ENCFF766CPS/@@download/ENCFF766CPS.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR000COQ,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,rRNA,1,-,immortalized cell line,adult,female,unknown,-,-,-,-,-,-,see document,see document,TRUE,ENCODE,ENCODE Processing Pipeline,10/17/11,"ENCFF271YOW, ENCFF826ONU",9557791,5bdcbd821020485205e1d9b0b006d31c,ENCFF587ALK,https://www.encodeproject.org/files/ENCFF587ALK/@@download/ENCFF587ALK.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR000AED,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,rRNA,1,1.0,immortalized cell line,adult,female,unknown,-,-,-,-,-,-,see document,see document,True,ENCODE,ENCODE Processing Pipeline,6/30/14,"ENCFF376KWQ, ENCFF826ONU",9526050,170178894daad086b5d2fb30013bfb2d,ENCFF305LZB,https://www.encodeproject.org/files/ENCFF305LZB/@@download/ENCFF305LZB.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878,GM12878,EFO:0002784,ENCSR000AED,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,rRNA,2,1.0,immortalized cell line,adult,female,unknown,-,-,-,-,-,-,see document,see document,True,ENCODE,ENCODE Processing Pipeline,6/30/14,"ENCFF309YOJ, ENCFF826ONU",9519142,eee11cc508d2840baaeafb18d3fd8e83,ENCFF239AZD,https://www.encodeproject.org/files/ENCFF239AZD/@@download/ENCFF239AZD.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878 cytosolic fraction,GM12878,EFO:0002784,ENCSR000COR,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,rRNA,1,-,immortalized cell line,adult,female,unknown,-,-,-,-,-,cytosol,see document,see document,TRUE,ENCODE,ENCODE Processing Pipeline,10/17/11,"ENCFF826ONU, ENCFF877XUC",9496079,07fd333a675a046f5c9ad138a09af05a,ENCFF545YHE,https://www.encodeproject.org/files/ENCFF545YHE/@@download/ENCFF545YHE.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878 cytosolic fraction,GM12878,EFO:0002784,ENCSR000COR,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,rRNA,2,-,immortalized cell line,adult,female,unknown,-,-,-,-,-,cytosol,see document,see document,TRUE,ENCODE,ENCODE Processing Pipeline,10/17/11,"ENCFF209TQU, ENCFF826ONU",9525313,baa727acdb307735956571a8530da378,ENCFF503QTG,https://www.encodeproject.org/files/ENCFF503QTG/@@download/ENCFF503QTG.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878 nuclear fraction,GM12878,EFO:0002784,ENCSR000CPO,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,rRNA,1,-,immortalized cell line,adult,female,unknown,-,-,-,-,-,nucleus,see document,see document,TRUE,ENCODE,ENCODE Processing Pipeline,10/17/11,"ENCFF312RXW, ENCFF826ONU",9501795,ea45332e568d47084c6d6e9c41d7172f,ENCFF296FFD,https://www.encodeproject.org/files/ENCFF296FFD/@@download/ENCFF296FFD.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878 nuclear fraction,GM12878,EFO:0002784,ENCSR000CPO,RNA-seq,gene quantifications,tsv,polyadenylated mRNA,rRNA,2,-,immortalized cell line,adult,female,unknown,-,-,-,-,-,nucleus,see document,see document,TRUE,ENCODE,ENCODE Processing Pipeline,10/17/11,"ENCFF038HHR, ENCFF826ONU",9490182,075000a346c0fdbc901f6c30a612c7d8,ENCFF992YZP,https://www.encodeproject.org/files/ENCFF992YZP/@@download/ENCFF992YZP.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878 nucleolus fraction,GM12878,EFO:0002784,ENCSR000CVT,RNA-seq,gene quantifications,tsv,RNA,rRNA,3,-,immortalized cell line,adult,female,unknown,-,-,-,-,-,nucleolus,see document,see document,TRUE,ENCODE,ENCODE Processing Pipeline,3/29/13,"ENCFF498SKI, ENCFF826ONU",9447890,1194aa18d1ef2b1561d752061ece224f,ENCFF808FJF,https://www.encodeproject.org/files/ENCFF808FJF/@@download/ENCFF808FJF.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GM12878 nucleolus fraction,GM12878,EFO:0002784,ENCSR000CVT,RNA-seq,gene quantifications,tsv,RNA,rRNA,4,-,immortalized cell line,adult,female,unknown,-,-,-,-,-,nucleolus,see document,see document,TRUE,ENCODE,ENCODE Processing Pipeline,3/29/13,"ENCFF252CNJ, ENCFF826ONU",9444249,bc4fd9ea30c50da42363cf9df3bab3a9,ENCFF383EXA,https://www.encodeproject.org/files/ENCFF383EXA/@@download/ENCFF383EXA.tsv,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
H1-hESC,H1-hESC,EFO:0003042,ENCSR794OFW,DNase-seq,peaks,bed narrowPeak,DNA,-,1,-,stem cell,embryonic,male,unknown,-,out of date analysis,-,extremely low spot score,-,-,see document,-,FALSE,Roadmap,ENCODE Processing Pipeline,7/31/13,"ENCFF163ZHO, ENCFF251WIB",1318821,d7519b43ed34f2e5640b04450e48fe0a,ENCFF430QTT,https://www.encodeproject.org/files/ENCFF430QTT/@@download/ENCFF430QTT.bed.gz,hg19,released,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
H1-hESC,H1-hESC,EFO:0003042,ENCSR000EMU,DNase-seq,peaks,bed narrowPeak,DNA,-,1,-,stem cell,embryonic,male,unknown,insufficient read depth,-,insufficient spot score,-,-,-,see document,see document,False,ENCODE,"John Stamatoyannopoulos, UW",12/16/10,ENCFF001CUM,1787815,74622e7aa7c065712c3fad0bffe79460,ENCFF001WFV,https://www.encodeproject.org/files/ENCFF001WFV/@@download/ENCFF001WFV.bed.gz,hg19,archived,Homo sapiens,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
